page,token,lemma,pos
0005,ГРМ,грм,PROPN
0005,С,с,ADP
0005,TRPUCMIT,trpucmit,X
0005,UCT,uct,X
0005,И,и,CCONJ
0005,ГЕРМЕТИЧЕСКАЯ,герметическая,PROPN
0005,ТРАДИЦИЯ,традиция,PROPN
0005,ВОСТОКА,востока,PROPN
0005,И,и,CCONJ
0005,ЗАПАДА,запада,PROPN
0005,Перевод,перевод,NOUN
0005,К.,к.,PROPN
0005,БОГУЦКОГО,богуцкого,PROPN
0005,КИЕВ,киев,PROPN
0005,МОСКВА,москва,PROPN
0005,«,"""",PUNCT
0005,ИРИС,ирис,NOUN
0005,»,"""",PUNCT
0005,«,"""",PUNCT
0005,АЛЕТЕЙА,алетейа,NOUN
0005,»,"""",PUNCT
0005,1998,1998,ADJ
